timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/22 19:17:12.655, 5, 27, 1980 MHz, 114.46 W, 0 %, 1741 MiB
2026/04/22 19:17:12.660, 6, 26, 1980 MHz, 114.76 W, 0 %, 1741 MiB
2026/04/22 19:17:12.665, 7, 24, 1980 MHz, 111.19 W, 0 %, 1741 MiB
2026/04/22 19:17:13.671, 0, 24, 1980 MHz, 114.65 W, 3 %, 1741 MiB
2026/04/22 19:17:13.676, 1, 27, 1980 MHz, 113.93 W, 0 %, 1741 MiB
2026/04/22 19:17:13.681, 2, 28, 1980 MHz, 114.43 W, 0 %, 1741 MiB
2026/04/22 19:17:13.686, 3, 23, 1980 MHz, 113.84 W, 0 %, 1741 MiB
2026/04/22 19:17:13.694, 4, 24, 1980 MHz, 115.05 W, 0 %, 1741 MiB
2026/04/22 19:17:13.699, 5, 27, 1980 MHz, 114.44 W, 0 %, 1741 MiB
2026/04/22 19:17:13.704, 6, 26, 1980 MHz, 114.75 W, 0 %, 1741 MiB
2026/04/22 19:17:13.709, 7, 24, 1980 MHz, 111.16 W, 0 %, 1741 MiB
2026/04/22 19:17:14.714, 0, 24, 1980 MHz, 114.65 W, 0 %, 1741 MiB
2026/04/22 19:17:14.716, 1, 27, 1980 MHz, 113.92 W, 0 %, 1741 MiB
2026/04/22 19:17:14.717, 2, 28, 1980 MHz, 114.41 W, 0 %, 1741 MiB
2026/04/22 19:17:14.718, 3, 23, 1980 MHz, 113.88 W, 0 %, 1741 MiB
2026/04/22 19:17:14.718, 4, 24, 1980 MHz, 115.02 W, 0 %, 1741 MiB
2026/04/22 19:17:14.719, 5, 27, 1980 MHz, 114.59 W, 0 %, 1741 MiB
2026/04/22 19:17:14.719, 6, 26, 1980 MHz, 114.67 W, 0 %, 1741 MiB
2026/04/22 19:17:14.720, 7, 25, 1980 MHz, 111.20 W, 0 %, 1741 MiB
2026/04/22 19:17:15.720, 0, 24, 1980 MHz, 114.62 W, 0 %, 1741 MiB
