run_id	config_hash	status	mode	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	artifact_bytes	output_dir	results_path
ar5090-20260322-020856	f4a8e7c7aadc784af7f796b55b767b0c7f022c1de36ee8a0697aa446af443ac1	success	train	1.538270520	411.702289	426.349923	11823.186	0.000	66.723840	1086	17.401632	4	15744077	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-020856	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-020856/results.json
ar5090-20260322-022544	0b633525786da9bb90320da994dc77b77b17d3f5ac8d0b571d0a125291bf9d0d	success	train	1.538246014	411.975917	427.258229	11868.413	0.000	66.048000	1075	17.633312	4	11680623	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-022544	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-022544/results.json
ar5090-20260322-023940	4ef6afff40d9a99206ae412cd3590536c60590a33fc83ed0bc7a0623221fe12c	success	train	1.535293536	411.528865	426.701415	11827.878	0.000	66.785280	1087	17.500192	4	15914653	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-023940	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-023940/results.json
ar5090-20260322-025448	f4cb803d9c54679b8045748144913b28c7bcfa859e3d562fa868960fa2c65129	success	train	1.541867353	411.524623	425.730081	11827.878	0.000	67.215360	1094	17.500192	4	12002523	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-025448	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-025448/results.json
ar5090-20260322-031159	ea6a32d849fde2f8db024302b88fa17892711da4582af5a4c30a162e3b45c523	success	train	1.528664372	411.749866	425.414335	11827.878	0.000	66.908160	1089	17.500192	4	15320719	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-031159	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-031159/results.json
ar5090-20260322-032755	428298cc55678ccd96c22e19154b41b39512eb470032fd47191a1e7d19d6a8de	success	train	1.529210456	411.529409	424.698875	11830.878	0.000	67.031040	1091	17.500192	4	15320332	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-032755	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-032755/results.json
ar5090-20260322-034231	aa04d8fb637fde903602a599ee85d831295e5b3b5f1479c4db46a4d178934a68	success	train	1.537800396	415.346100	432.058827	13173.878	0.000	64.512000	1050	19.597344	4	9889871	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-034231	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-034231/results.json
ar5090-20260322-035843	db905ab305babc21e484bf91e9ffd0f92557ab7b08b0db544a54e3db53bff8c0	success	train	1.531011142	411.763388	426.711986	12245.378	0.000	67.092480	1092	17.500192	4	9192709	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-035843	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-035843/results.json
ar5090-20260322-041628	5ee3c2627288dab03089c15e032d974197be1814673487c1d8171e08cdf57c9c	success	train	1.530223150	411.592948	426.824461	11830.878	0.000	66.232320	1078	17.500192	4	9192780	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-041628	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-041628/results.json
ar5090-20260322-043535	e36d8fffab26376debd1196cf86ce7226e675e25e3981c8d818df6f8af9a7866	success	train	1.528887486	411.625184	425.245600	11827.878	0.000	67.031040	1091	17.500192	4	15225627	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-043535	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-043535/results.json
