params=7,311,756 est_fp16_artifact=13.95MB
train_loader pattern=./data/datasets/fineweb10B_sp1024/fineweb_train_*.bin
val_loader pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens=62021632
training window: start_g=0 target_g=1000000000 run_update_budget=125000000
u=3960 g=31680 loss=0.3411 lr=0.0003 tok/step=32768
u=3980 g=31840 loss=0.3428 lr=0.0003 tok/step=32768
u=4000 g=32000 loss=0.3242 lr=0.0003 tok/step=32768
u=4020 g=32160 loss=0.3143 lr=0.0003 tok/step=32768
u=4040 g=32320 loss=0.3367 lr=0.0003 tok/step=32768
u=4060 g=32480 loss=0.2739 lr=0.0003 tok/step=32768
u=4080 g=32640 loss=0.3204 lr=0.0003 tok/step=32768
u=4100 g=32800 loss=0.3197 lr=0.0003 tok/step=32768
u=4120 g=32960 loss=0.3022 lr=0.0003 tok/step=32768
u=4140 g=33120 loss=0.2833 lr=0.0003 tok/step=32768
u=4160 g=33280 loss=0.2552 lr=0.0003 tok/step=32768
u=4180 g=33440 loss=0.2746 lr=0.0003 tok/step=32768
u=4200 g=33600 loss=0.2900 lr=0.0003 tok/step=32768
u=4220 g=33760 loss=0.2496 lr=0.0003 tok/step=32768
u=4240 g=33920 loss=0.3162 lr=0.0003 tok/step=32768
u=4260 g=34080 loss=0.3029 lr=0.0003 tok/step=32768
u=4280 g=34240 loss=0.2460 lr=0.0003 tok/step=32768
u=4300 g=34400 loss=0.2381 lr=0.0003 tok/step=32768
u=4320 g=34560 loss=0.2187 lr=0.0003 tok/step=32768
u=4340 g=34720 loss=0.2484 lr=0.0003 tok/step=32768
u=4360 g=34880 loss=0.2051 lr=0.0003 tok/step=32768
u=4380 g=35040 loss=0.2409 lr=0.0003 tok/step=32768
u=4400 g=35200 loss=0.2806 lr=0.0003 tok/step=32768
u=4420 g=35360 loss=0.6826 lr=0.0003 tok/step=32768
u=4440 g=35520 loss=0.3475 lr=0.0003 tok/step=32768
u=4460 g=35680 loss=0.2129 lr=0.0003 tok/step=32768
u=4480 g=35840 loss=0.3002 lr=0.0003 tok/step=32768
u=4500 g=36000 loss=0.1919 lr=0.0003 tok/step=32768
u=4520 g=36160 loss=0.2417 lr=0.0003 tok/step=32768
u=4540 g=36320 loss=0.1795 lr=0.0003 tok/step=32768
u=4560 g=36480 loss=0.1661 lr=0.0003 tok/step=32768
u=4580 g=36640 loss=0.1735 lr=0.0003 tok/step=32768
u=4600 g=36800 loss=0.1540 lr=0.0003 tok/step=32768
u=4620 g=36960 loss=0.1675 lr=0.0003 tok/step=32768
u=4640 g=37120 loss=0.1836 lr=0.0003 tok/step=32768
u=4660 g=37280 loss=0.1584 lr=0.0003 tok/step=32768
u=4680 g=37440 loss=0.1657 lr=0.0003 tok/step=32768
u=4700 g=37600 loss=0.1754 lr=0.0003 tok/step=32768
u=4720 g=37760 loss=0.2825 lr=0.0003 tok/step=32768
u=4740 g=37920 loss=0.2216 lr=0.0003 tok/step=32768
u=4760 g=38080 loss=0.1434 lr=0.0003 tok/step=32768
u=4780 g=38240 loss=0.1566 lr=0.0003 tok/step=32768
u=4800 g=38400 loss=0.2788 lr=0.0003 tok/step=32768
u=4820 g=38560 loss=0.1990 lr=0.0003 tok/step=32768
u=4840 g=38720 loss=0.1871 lr=0.0003 tok/step=32768
u=4860 g=38880 loss=0.1681 lr=0.0003 tok/step=32768
u=4880 g=39040 loss=0.1546 lr=0.0003 tok/step=32768
u=4900 g=39200 loss=0.1775 lr=0.0003 tok/step=32768
u=4920 g=39360 loss=0.1621 lr=0.0003 tok/step=32768
u=4940 g=39520 loss=0.4186 lr=0.0003 tok/step=32768
u=4960 g=39680 loss=0.2565 lr=0.0003 tok/step=32768
u=4980 g=39840 loss=0.2443 lr=0.0003 tok/step=32768
u=5000 g=40000 loss=0.1540 lr=0.0003 tok/step=32768
u=5020 g=40160 loss=0.1223 lr=0.0003 tok/step=32768
u=5040 g=40320 loss=0.1410 lr=0.0003 tok/step=32768
u=5060 g=40480 loss=0.1490 lr=0.0003 tok/step=32768
u=5080 g=40640 loss=0.2251 lr=0.0003 tok/step=32768
