==========================================================================
  Cheap Multi-GPU Small SKC Run
  RUN_ID : small_skc_2gpu_s42_20260407_053520
  MODEL  : SKC L=8 D=256 H=4/2
  SKC    : block=16 caps=8 cap_dim=64
  ENGRAM : buckets=3072 dim=112 orders=3
  TERNARY: train_align=0@0.85 thr_search=0 scale_search=0
  CURR   : 64 -> 128 -> 256 @ 35% / 65%
  BATCH  : 8192 tok/step  seq=256
  VRAM   : min_gpu_mem=141GB  val_batch=32768
  BUDGET : 45s
  SEED   : 42
  GPUS   : 1
  EXPORT : turbo=1 hess=0 sliding=0 ngram=0
  SMOKE  : 1
==========================================================================
logs/cuda/small_skc_2gpu_s42_20260407_053520.txt
Muon optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 scalar_decay=31 engram_scalar=12
params:3810120 L:8 d:256 h:4 kv:2 ws:1 ga:1 s:42
step:295/500000 loss:3.9417 t:19452ms avg:65.9ms
step:296/500000 loss:3.9416 t:19511ms avg:65.9ms
step:297/500000 loss:3.9673 t:19574ms avg:65.9ms
step:298/500000 loss:3.8755 t:19640ms avg:65.9ms
step:299/500000 loss:3.9813 t:19703ms avg:65.9ms
step:300/500000 loss:4.1126 t:19767ms avg:65.9ms
step:301/500000 loss:3.8462 t:19837ms avg:65.9ms
step:302/500000 loss:3.8983 t:19904ms avg:65.9ms
step:303/500000 loss:3.9955 t:19968ms avg:65.9ms
step:304/500000 loss:3.9880 t:20035ms avg:65.9ms
step:305/500000 loss:4.1304 t:20096ms avg:65.9ms
step:306/500000 loss:4.0143 t:20162ms avg:65.9ms
step:307/500000 loss:3.8776 t:20230ms avg:65.9ms
step:308/500000 loss:3.8864 t:20291ms avg:65.9ms
step:309/500000 loss:3.8602 t:20358ms avg:65.9ms
step:310/500000 loss:3.9899 t:20426ms avg:65.9ms
step:311/500000 loss:3.9608 t:20486ms avg:65.9ms
step:312/500000 loss:3.9411 t:20555ms avg:65.9ms
step:313/500000 loss:3.8304 t:20624ms avg:65.9ms
step:314/500000 loss:4.0775 t:20684ms avg:65.9ms
step:315/500000 loss:3.9984 t:20754ms avg:65.9ms
step:316/500000 loss:3.8827 t:20823ms avg:65.9ms
step:317/500000 loss:3.9112 t:20886ms avg:65.9ms
step:318/500000 loss:3.7557 t:20954ms avg:65.9ms
step:319/500000 loss:3.9158 t:21020ms avg:65.9ms
step:320/500000 loss:3.9683 t:21081ms avg:65.9ms
step:321/500000 loss:4.0828 t:21150ms avg:65.9ms
step:322/500000 loss:4.1048 t:21225ms avg:65.9ms
step:323/500000 loss:3.9608 t:21288ms avg:65.9ms
step:324/500000 loss:3.9437 t:21354ms avg:65.9ms
step:325/500000 loss:4.1799 t:21420ms avg:65.9ms
step:326/500000 loss:4.5041 t:21481ms avg:65.9ms
step:327/500000 loss:4.2437 t:21549ms avg:65.9ms
step:328/500000 loss:3.9713 t:21614ms avg:65.9ms
step:329/500000 loss:4.4722 t:21677ms avg:65.9ms
step:330/500000 loss:3.9625 t:21745ms avg:65.9ms
step:331/500000 loss:3.9211 t:21808ms avg:65.9ms
step:332/500000 loss:4.0350 t:21873ms avg:65.9ms
step:333/500000 loss:4.0988 t:21941ms avg:65.9ms
step:334/500000 loss:4.0063 t:22002ms avg:65.9ms
step:335/500000 loss:4.1577 t:22064ms avg:65.9ms
step:336/500000 loss:4.0198 t:22132ms avg:65.9ms
step:337/500000 loss:3.9114 t:22193ms avg:65.9ms
step:338/500000 loss:4.0447 t:22262ms avg:65.9ms
step:339/500000 loss:4.2529 t:22332ms avg:65.9ms
step:340/500000 loss:3.9799 t:22393ms avg:65.9ms
step:341/500000 loss:3.8912 t:22464ms avg:65.9ms
step:342/500000 loss:3.7032 t:22532ms avg:65.9ms
step:343/500000 loss:3.8603 t:22592ms avg:65.9ms
step:344/500000 loss:4.2831 t:22661ms avg:65.9ms
step:345/500000 loss:3.7827 t:22731ms avg:65.9ms
step:346/500000 loss:4.0700 t:22791ms avg:65.9ms
step:347/500000 loss:4.0280 t:22860ms avg:65.9ms
step:348/500000 loss:4.1273 t:22929ms avg:65.9ms
step:349/500000 loss:4.0924 t:22989ms avg:65.9ms
step:350/500000 loss:4.1160 t:23059ms avg:65.9ms
step:351/500000 loss:4.1832 t:23127ms avg:65.9ms
step:352/500000 loss:4.1623 t:23187ms avg:65.9ms
step:353/500000 loss:3.9861 t:23255ms avg:65.9ms
step:354/500000 loss:3.8078 t:23321ms avg:65.9ms
step:355/500000 loss:3.8121 t:23384ms avg:65.9ms
step:356/500000 loss:4.1057 t:23452ms avg:65.9ms
step:357/500000 loss:4.0064 t:23530ms avg:65.9ms
step:358/500000 loss:4.2025 t:23590ms avg:65.9ms
step:359/500000 loss:4.0184 t:23657ms avg:65.9ms
step:360/500000 loss:4.1981 t:23727ms avg:65.9ms
step:361/500000 loss:4.0772 t:23788ms avg:65.9ms
step:362/500000 loss:3.9319 t:23858ms avg:65.9ms
step:363/500000 loss:4.0205 t:23928ms avg:65.9ms
step:364/500000 loss:4.0334 t:23988ms avg:65.9ms
step:365/500000 loss:3.9453 t:24057ms avg:65.9ms
step:366/500000 loss:3.8842 t:24126ms avg:65.9ms
step:367/500000 loss:3.7897 t:24187ms avg:65.9ms
step:368/500000 loss:3.8782 t:24254ms avg:65.9ms
step:369/500000 loss:3.8018 t:24321ms avg:65.9ms
step:370/500000 loss:3.9366 t:24382ms avg:65.9ms
step:371/500000 loss:4.0711 t:24451ms avg:65.9ms
step:372/500000 loss:3.7526 t:24516ms avg:65.9ms
step:373/500000 loss:4.0130 t:24579ms avg:65.9ms
step:374/500000 loss:3.9330 t:24650ms avg:65.9ms
step:375/500000 loss:3.8680 t:24719ms avg:65.9ms
step:376/500000 loss:3.8410 t:24781ms avg:65.9ms
step:377/500000 loss:3.8683 t:24851ms avg:65.9ms
step:378/500000 loss:3.8392 t:24917ms avg:65.9ms
step:379/500000 loss:3.8802 t:24980ms avg:65.9ms
step:380/500000 loss:3.7830 t:25048ms avg:65.9ms
step:381/500000 loss:4.0560 t:25111ms avg:65.9ms
step:382/500000 loss:3.8176 t:25175ms avg:65.9ms
step:383/500000 loss:3.8245 t:25243ms avg:65.9ms
step:384/500000 loss:3.8990 t:25306ms avg:65.9ms
step:385/500000 loss:3.8006 t:25370ms avg:65.9ms
step:386/500000 loss:3.7821 t:25440ms avg:65.9ms
step:387/500000 loss:3.7394 t:25501ms avg:65.9ms
step:388/500000 loss:3.7456 t:25570ms avg:65.9ms
step:389/500000 loss:3.7254 t:25639ms avg:65.9ms
step:390/500000 loss:3.7332 t:25700ms avg:65.9ms
step:391/500000 loss:3.7178 t:25768ms avg:65.9ms
step:392/500000 loss:3.9073 t:25838ms avg:65.9ms
step:393/500000 loss:3.4112 t:25898ms avg:65.9ms
step:394/500000 loss:3.5229 t:25965ms avg:65.9ms
step:395/500000 loss:3.6647 t:26035ms avg:65.9ms
step:396/500000 loss:3.7401 t:26097ms avg:65.9ms
step:397/500000 loss:3.7809 t:26166ms avg:65.9ms
step:398/500000 loss:3.7719 t:26236ms avg:65.9ms
step:399/500000 loss:3.7711 t:26297ms avg:65.9ms
step:400/500000 loss:3.8677 t:26365ms avg:65.9ms
step:401/500000 loss:3.4481 t:26435ms avg:65.9ms
step:402/500000 loss:3.6303 t:26499ms avg:65.9ms
step:403/500000 loss:3.7523 t:26567ms avg:65.9ms
step:404/500000 loss:3.7659 t:26637ms avg:65.9ms
step:405/500000 loss:3.9756 t:26697ms avg:65.9ms
step:406/500000 loss:4.1930 t:26766ms avg:65.9ms
step:407/500000 loss:4.1958 t:26836ms avg:65.9ms
step:408/500000 loss:3.9003 t:26896ms avg:65.9ms
step:409/500000 loss:3.9051 t:26965ms avg:65.9ms
step:410/500000 loss:3.8724 t:27035ms avg:65.9ms
step:411/500000 loss:3.7106 t:27096ms avg:65.9ms
step:412/500000 loss:3.8771 t:27164ms avg:65.9ms
step:413/500000 loss:3.9364 t:27233ms avg:65.9ms
step:414/500000 loss:3.7988 t:27293ms avg:65.9ms
step:415/500000 loss:3.8153 t:27362ms avg:65.9ms
step:416/500000 loss:3.6791 t:27433ms avg:65.9ms
step:417/500000 loss:3.7341 t:27493ms avg:65.9ms
step:418/500000 loss:3.9716 t:27566ms avg:65.9ms
step:419/500000 loss:3.7707 t:27636ms avg:66.0ms
step:420/500000 loss:3.6670 t:27696ms avg:65.9ms
step:421/500000 loss:3.5628 t:27764ms avg:65.9ms
step:422/500000 loss:3.5783 t:27834ms avg:66.0ms
step:423/500000 loss:3.6987 t:27894ms avg:65.9ms
