step,grad_total,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10
390,0.2994,0.1458,0.0969,0.0804,0.0721,0.0667,0.0629,0.0646,0.0683,0.0724,0.0901,0.0997
395,0.3266,0.1485,0.101,0.0819,0.0722,0.0648,0.0636,0.0633,0.067,0.07,0.0895,0.0885
400,0.3074,0.1395,0.0968,0.0799,0.0708,0.0662,0.0659,0.0666,0.0702,0.0733,0.0928,0.1021
405,0.3137,0.1477,0.1003,0.0837,0.0763,0.0703,0.0684,0.0655,0.0655,0.067,0.0858,0.0946
410,0.3278,0.1465,0.1012,0.0857,0.0781,0.071,0.0665,0.0643,0.0631,0.064,0.0802,0.0878
415,0.3143,0.1507,0.0987,0.0843,0.0781,0.0751,0.0675,0.0644,0.064,0.0646,0.0824,0.1001
420,0.3699,0.1328,0.0926,0.0784,0.072,0.0693,0.067,0.0649,0.0689,0.0699,0.092,0.101
425,0.2818,0.129,0.0913,0.0792,0.0731,0.0668,0.066,0.0648,0.0647,0.0662,0.0814,0.0972
430,0.3298,0.1444,0.0947,0.0797,0.0716,0.0687,0.0676,0.066,0.0675,0.0684,0.0865,0.1021
435,0.3291,0.1354,0.0963,0.083,0.0776,0.0776,0.0759,0.0702,0.0688,0.0707,0.0886,0.0936
440,0.304,0.1449,0.0989,0.0829,0.0765,0.0747,0.0711,0.0688,0.0687,0.0686,0.0876,0.0941
445,0.3039,0.1304,0.093,0.0828,0.0798,0.0734,0.0691,0.0664,0.0675,0.0695,0.0902,0.1096
450,0.3046,0.142,0.1017,0.086,0.0776,0.0776,0.0719,0.0678,0.0674,0.0679,0.085,0.0853
455,0.3255,0.1375,0.0912,0.0774,0.0716,0.0701,0.0658,0.0647,0.0678,0.0696,0.0895,0.109
460,0.318,0.1348,0.096,0.0834,0.077,0.0734,0.0717,0.0674,0.0693,0.072,0.09,0.0954
465,0.3078,0.1314,0.0958,0.0841,0.0787,0.0765,0.0741,0.0719,0.0741,0.0722,0.0897,0.098
470,0.2813,0.1294,0.0942,0.0832,0.0753,0.0694,0.0675,0.065,0.0642,0.0644,0.0786,0.0845
475,0.303,0.1357,0.0962,0.0832,0.0778,0.0764,0.0721,0.0704,0.0726,0.0704,0.085,0.0905
480,0.2732,0.1141,0.0807,0.071,0.0686,0.07,0.065,0.0616,0.0606,0.0607,0.0773,0.1085
485,0.3001,0.1324,0.0935,0.0835,0.0769,0.0724,0.076,0.0709,0.0717,0.0696,0.0856,0.0971
490,0.2775,0.1184,0.0865,0.0724,0.0663,0.0617,0.0627,0.0639,0.0679,0.0682,0.084,0.0932
495,0.282,0.1329,0.0929,0.0792,0.0721,0.0699,0.0688,0.0661,0.0658,0.0645,0.0796,0.0884
500,0.302,0.1353,0.0924,0.0774,0.0705,0.0656,0.0654,0.0669,0.0698,0.0715,0.0891,0.1162
505,0.2909,0.1248,0.0926,0.0789,0.0713,0.0671,0.0686,0.0698,0.0711,0.0707,0.088,0.115
510,0.276,0.1196,0.0844,0.0727,0.0678,0.0649,0.0658,0.0647,0.0656,0.0634,0.0813,0.084
515,0.3179,0.1382,0.0984,0.0843,0.0774,0.0745,0.0776,0.0714,0.0697,0.0672,0.0817,0.0908
520,0.3091,0.119,0.0815,0.0726,0.0675,0.0695,0.0677,0.0692,0.0736,0.0753,0.0926,0.1191
525,0.2933,0.1144,0.0849,0.0761,0.0726,0.0715,0.0749,0.0741,0.0776,0.0744,0.0919,0.1065
530,0.2848,0.1243,0.0914,0.0812,0.0756,0.0724,0.0712,0.0687,0.069,0.0662,0.0816,0.0954
535,0.3323,0.1204,0.0857,0.0783,0.0745,0.0746,0.0773,0.0748,0.0741,0.0732,0.0884,0.1047
540,0.2937,0.1195,0.0927,0.0831,0.0792,0.0759,0.0736,0.0688,0.0695,0.0686,0.0844,0.1029
545,0.306,0.1315,0.0953,0.0845,0.0809,0.0781,0.0781,0.0721,0.068,0.0664,0.0824,0.0954
550,0.3106,0.1135,0.0881,0.0796,0.075,0.0738,0.0707,0.0696,0.0713,0.068,0.0855,0.0952
555,0.2938,0.1244,0.0915,0.0797,0.0735,0.0717,0.0707,0.0699,0.0707,0.069,0.0856,0.0992
560,0.2643,0.106,0.08,0.072,0.0687,0.0657,0.0684,0.0664,0.0663,0.0615,0.0769,0.0943
565,0.2929,0.1215,0.0903,0.0796,0.0745,0.0718,0.0718,0.0705,0.0709,0.0703,0.0882,0.1033
570,0.2943,0.1234,0.0877,0.0742,0.0691,0.0717,0.0666,0.0648,0.0662,0.0657,0.0811,0.1211
575,0.2762,0.1071,0.0808,0.0707,0.0669,0.0649,0.0665,0.0675,0.0682,0.0684,0.083,0.1169
580,0.2743,0.1062,0.0831,0.0741,0.0687,0.0672,0.0718,0.0713,0.0709,0.0682,0.0823,0.0994
585,0.2941,0.1121,0.0836,0.0739,0.0687,0.0684,0.0731,0.0716,0.0738,0.073,0.0898,0.1129
590,0.2848,0.1116,0.0825,0.0747,0.0706,0.0684,0.0715,0.0703,0.071,0.069,0.0848,0.1062
595,0.295,0.1265,0.0949,0.0875,0.0882,0.0846,0.0817,0.075,0.071,0.0674,0.0793,0.0903
600,0.2626,0.1005,0.0791,0.0691,0.065,0.0643,0.0659,0.0631,0.0644,0.0615,0.0753,0.0848
605,0.2813,0.1031,0.0804,0.0734,0.072,0.0718,0.0706,0.0664,0.0676,0.0635,0.0794,0.0961
610,0.2606,0.1141,0.0801,0.0729,0.0692,0.0679,0.0674,0.0629,0.0637,0.0594,0.0733,0.084
615,0.281,0.0989,0.0751,0.0677,0.0649,0.0637,0.069,0.0658,0.0678,0.0662,0.0848,0.1024
620,0.2627,0.1153,0.0881,0.0771,0.0714,0.0662,0.0674,0.0638,0.0609,0.0582,0.0693,0.0892
625,0.2706,0.1161,0.0871,0.0783,0.0738,0.0684,0.0681,0.0644,0.0647,0.0637,0.077,0.0884
630,0.3343,0.1089,0.0857,0.078,0.0746,0.0702,0.074,0.0725,0.0696,0.0696,0.0826,0.1416
635,0.2556,0.0926,0.0728,0.0641,0.0602,0.0571,0.0591,0.0613,0.0642,0.063,0.0781,0.1018
640,0.2502,0.0939,0.0759,0.0694,0.0671,0.0668,0.0617,0.06,0.0612,0.0595,0.0702,0.0868
645,0.2693,0.0998,0.0797,0.0733,0.0715,0.0711,0.0687,0.0639,0.0625,0.0623,0.0764,0.0902
650,0.2637,0.0906,0.073,0.0678,0.0648,0.0627,0.0647,0.0621,0.0627,0.0616,0.0758,0.1028
655,0.2704,0.0989,0.0754,0.0691,0.066,0.0651,0.0704,0.0668,0.0668,0.0652,0.0786,0.0981
660,0.2833,0.1044,0.0788,0.0723,0.0709,0.0707,0.0754,0.0751,0.0761,0.0705,0.0858,0.106
665,0.2809,0.0915,0.0726,0.0657,0.0614,0.0623,0.0659,0.0649,0.0646,0.0645,0.0785,0.1351
670,0.272,0.096,0.0779,0.0716,0.0675,0.0655,0.0698,0.0704,0.0714,0.0701,0.0848,0.1048
675,0.2641,0.0924,0.0788,0.0738,0.0734,0.07,0.07,0.0661,0.0629,0.0593,0.0727,0.0891
680,0.2601,0.0922,0.0736,0.0672,0.0657,0.0629,0.0685,0.0681,0.0676,0.065,0.0774,0.0952
685,0.2636,0.0835,0.0693,0.0656,0.0637,0.0629,0.0652,0.0612,0.0614,0.0599,0.0737,0.104
690,0.2561,0.0862,0.0713,0.0662,0.0651,0.0628,0.068,0.0651,0.065,0.0594,0.0724,0.0947
695,0.2508,0.0887,0.0727,0.0657,0.0603,0.0565,0.0626,0.062,0.0615,0.0597,0.071,0.0944
700,0.2662,0.1009,0.0746,0.0667,0.0623,0.0642,0.0647,0.0642,0.0677,0.0648,0.0808,0.1171
705,0.3057,0.1057,0.0869,0.0804,0.0747,0.0702,0.0741,0.0738,0.0766,0.0719,0.0861,0.1103
710,0.271,0.0973,0.0793,0.074,0.0695,0.0691,0.0737,0.0685,0.0645,0.0604,0.0731,0.1179
