step,wallclock_s,step_time_ms,fwd_us,bwd_us,opt_us,dataloader_us,active_bytes,reserved_bytes,num_alloc_retries,num_device_alloc,num_device_free
88,6936822.709294,187.135,-1.0,-1.0,-1.0,402.3,683933696,46393196544,0,348,0
89,6936822.896171,186.877,-1.0,-1.0,-1.0,202.4,683933696,46393196544,0,348,0
90,6936823.080616,184.445,-1.0,-1.0,-1.0,263.7,683933696,46393196544,0,348,0
91,6936823.266304,185.688,-1.0,-1.0,-1.0,257.8,683933696,46393196544,0,348,0
92,6936823.451331,185.028,-1.0,-1.0,-1.0,259.8,683933696,46393196544,0,348,0
93,6936823.640184,188.853,-1.0,-1.0,-1.0,300.8,683933696,46393196544,0,348,0
94,6936823.824716,184.532,-1.0,-1.0,-1.0,287.4,683933696,46393196544,0,348,0
95,6936824.014265,189.549,-1.0,-1.0,-1.0,257.5,683933696,46393196544,0,348,0
96,6936824.199030,184.765,-1.0,-1.0,-1.0,243.1,683933696,46393196544,0,348,0
97,6936824.385723,186.693,-1.0,-1.0,-1.0,282.4,683933696,46393196544,0,348,0
98,6936824.571841,186.118,-1.0,-1.0,-1.0,710.7,683933696,46393196544,0,348,0
99,6936824.756943,185.103,-1.0,-1.0,-1.0,266.8,683933696,46393196544,0,348,0
100,6936824.941062,184.118,-1.0,-1.0,-1.0,310.3,683933696,46393196544,0,348,0
101,6936825.137346,196.285,-1.0,-1.0,-1.0,257.2,683933696,46393196544,0,348,0
102,6936825.323010,185.663,-1.0,-1.0,-1.0,315.1,683933696,46393196544,0,348,0
103,6936825.511044,188.034,-1.0,-1.0,-1.0,261.5,683933696,46393196544,0,348,0
104,6936825.696086,185.042,-1.0,-1.0,-1.0,256.7,683933696,46393196544,0,348,0
105,6936825.880987,184.901,-1.0,-1.0,-1.0,252.1,683933696,46393196544,0,348,0
106,6936826.068830,187.843,-1.0,-1.0,-1.0,251.7,683933696,46393196544,0,348,0
107,6936826.255796,186.966,-1.0,-1.0,-1.0,255.0,683933696,46393196544,0,348,0
108,6936826.441137,185.341,-1.0,-1.0,-1.0,257.8,683933696,46393196544,0,348,0
109,6936826.625426,184.289,-1.0,-1.0,-1.0,266.6,683933696,46393196544,0,348,0
110,6936826.813842,188.416,-1.0,-1.0,-1.0,262.4,683933696,46393196544,0,348,0
111,6936826.999787,185.945,-1.0,-1.0,-1.0,250.4,683933696,46393196544,0,348,0
112,6936827.185339,185.552,-1.0,-1.0,-1.0,320.0,683933696,46393196544,0,348,0
113,6936827.371550,186.211,-1.0,-1.0,-1.0,267.4,683933696,46393196544,0,348,0
114,6936827.557408,185.858,-1.0,-1.0,-1.0,258.5,683933696,46393196544,0,348,0
115,6936827.741384,183.975,-1.0,-1.0,-1.0,320.7,683933696,46393196544,0,348,0
116,6936827.929283,187.899,-1.0,-1.0,-1.0,395.9,683933696,46393196544,0,348,0
117,6936828.116518,187.236,-1.0,-1.0,-1.0,257.4,683933696,46393196544,0,348,0
118,6936828.299214,182.696,-1.0,-1.0,-1.0,342.8,683933696,46393196544,0,348,0
119,6936828.486992,187.778,-1.0,-1.0,-1.0,513.4,683933696,46393196544,0,348,0
120,6936828.672194,185.202,-1.0,-1.0,-1.0,355.8,683933696,46393196544,0,348,0
121,6936828.858556,186.362,-1.0,-1.0,-1.0,286.8,683933696,46393196544,0,348,0
122,6936829.045842,187.286,-1.0,-1.0,-1.0,613.6,683933696,46393196544,0,348,0
123,6936829.232830,186.988,-1.0,-1.0,-1.0,385.2,683933696,46393196544,0,348,0
124,6936829.417017,184.187,-1.0,-1.0,-1.0,347.7,683933696,46393196544,0,348,0
125,6936829.601141,184.124,-1.0,-1.0,-1.0,263.6,683933696,46393196544,0,348,0
126,6936829.787491,186.350,-1.0,-1.0,-1.0,360.2,683933696,46393196544,0,348,0
127,6936829.973876,186.385,-1.0,-1.0,-1.0,337.2,683933696,46393196544,0,348,0
128,6936830.287137,313.261,-1.0,-1.0,-1.0,130476.3,683933696,46393196544,0,348,0
129,6936830.493529,206.392,-1.0,-1.0,-1.0,239.3,683933696,46393196544,0,348,0
130,6936830.680090,186.561,-1.0,-1.0,-1.0,356.4,683933696,46393196544,0,348,0
131,6936830.863942,183.852,-1.0,-1.0,-1.0,322.5,683933696,46393196544,0,348,0
132,6936831.050474,186.532,-1.0,-1.0,-1.0,358.6,683933696,46393196544,0,348,0
133,6936831.239569,189.095,-1.0,-1.0,-1.0,390.5,683933696,46393196544,0,348,0
134,6936831.432124,192.555,-1.0,-1.0,-1.0,489.0,683933696,46393196544,0,348,0
135,6936831.617155,185.031,-1.0,-1.0,-1.0,414.9,683933696,46393196544,0,348,0
136,6936831.801030,183.875,-1.0,-1.0,-1.0,596.5,683933696,46393196544,0,348,0
137,6936831.984540,183.510,-1.0,-1.0,-1.0,377.2,683933696,46393196544,0,348,0
138,6936832.176337,191.797,-1.0,-1.0,-1.0,343.2,683933696,46393196544,0,348,0
139,6936832.362249,185.912,-1.0,-1.0,-1.0,371.8,683933696,46393196544,0,348,0
140,6936832.552456,190.207,-1.0,-1.0,-1.0,375.6,683933696,46393196544,0,348,0
141,6936832.737238,184.782,-1.0,-1.0,-1.0,369.7,683933696,46393196544,0,348,0
142,6936832.921328,184.090,-1.0,-1.0,-1.0,214.9,683933696,46393196544,0,348,0
143,6936833.110597,189.269,-1.0,-1.0,-1.0,357.4,683933696,46393196544,0,348,0
144,6936833.298684,188.087,-1.0,-1.0,-1.0,219.4,683933696,46393196544,0,348,0
145,6936833.484976,186.292,-1.0,-1.0,-1.0,220.0,683933696,46393196544,0,348,0
146,6936833.672641,187.665,-1.0,-1.0,-1.0,359.8,683933696,46393196544,0,348,0
147,6936833.857999,185.358,-1.0,-1.0,-1.0,206.2,683933696,46393196544,0,348,0
148,6936834.043589,185.591,-1.0,-1.0,-1.0,482.3,683933696,46393196544,0,348,0
149,6936834.230569,186.980,-1.0,-1.0,-1.0,488.0,683933696,46393196544,0,348,0
150,6936834.418116,187.547,-1.0,-1.0,-1.0,359.7,683933696,46393196544,0,348,0
151,6936834.604899,186.783,-1.0,-1.0,-1.0,351.6,683933696,46393196544,0,348,0
152,6936834.793463,188.564,-1.0,-1.0,-1.0,489.5,683933696,46393196544,0,348,0
153,6936834.977473,184.010,-1.0,-1.0,-1.0,412.5,683933696,46393196544,0,348,0
154,6936835.163188,185.715,-1.0,-1.0,-1.0,364.5,683933696,46393196544,0,348,0
155,6936835.350372,187.184,-1.0,-1.0,-1.0,323.1,683933696,46393196544,0,348,0
156,6936835.537381,187.009,-1.0,-1.0,-1.0,227.8,683933696,46393196544,0,348,0
157,6936835.722019,184.637,-1.0,-1.0,-1.0,244.5,683933696,46393196544,0,348,0
158,6936835.907484,185.465,-1.0,-1.0,-1.0,358.3,683933696,46393196544,0,348,0
159,6936836.093822,186.338,-1.0,-1.0,-1.0,367.2,683933696,46393196544,0,348,0
160,6936836.280070,186.248,-1.0,-1.0,-1.0,368.8,683933696,46393196544,0,348,0
161,6936836.465839,185.769,-1.0,-1.0,-1.0,210.1,683933696,46393196544,0,348,0
162,6936836.654385,188.546,-1.0,-1.0,-1.0,376.7,683933696,46393196544,0,348,0
163,6936836.840404,186.019,-1.0,-1.0,-1.0,361.8,683933696,46393196544,0,348,0
164,6936837.025120,184.716,-1.0,-1.0,-1.0,486.8,683933696,46393196544,0,348,0
165,6936837.213950,188.830,-1.0,-1.0,-1.0,332.3,683933696,46393196544,0,348,0
166,6936837.399796,185.846,-1.0,-1.0,-1.0,333.3,683933696,46393196544,0,348,0
167,6936837.584872,185.075,-1.0,-1.0,-1.0,327.9,683933696,46393196544,0,348,0
168,6936837.771080,186.209,-1.0,-1.0,-1.0,457.4,683933696,46393196544,0,348,0
169,6936837.956262,185.181,-1.0,-1.0,-1.0,202.0,683933696,46393196544,0,348,0
170,6936838.140432,184.171,-1.0,-1.0,-1.0,442.4,683933696,46393196544,0,348,0
171,6936838.326483,186.050,-1.0,-1.0,-1.0,203.2,683933696,46393196544,0,348,0
172,6936838.512275,185.792,-1.0,-1.0,-1.0,255.2,683933696,46393196544,0,348,0
173,6936838.698406,186.131,-1.0,-1.0,-1.0,334.6,683933696,46393196544,0,348,0
174,6936838.883457,185.051,-1.0,-1.0,-1.0,350.6,683933696,46393196544,0,348,0
175,6936839.069746,186.288,-1.0,-1.0,-1.0,668.7,683933696,46393196544,0,348,0
176,6936839.255682,185.936,-1.0,-1.0,-1.0,340.2,683933696,46393196544,0,348,0
177,6936839.440438,184.757,-1.0,-1.0,-1.0,488.2,683933696,46393196544,0,348,0
178,6936839.625559,185.121,-1.0,-1.0,-1.0,328.4,683933696,46393196544,0,348,0
179,6936839.812684,187.126,-1.0,-1.0,-1.0,202.6,683933696,46393196544,0,348,0
